,Aspirin,Metformin,Ibuprofen,Acetaminophen,Omeprazole,Lisinopril,Atorvastatin,Amlodipine
Aspirin,0.0,0.033604280889678484,0.18563982585312622,0.615427118519016,0.5820558959409583,0.563845491110681,0.6464832112744308,0.553883412233821
Metformin,0.033604280889678484,0.0,0.13541410321717529,0.5517455216227793,0.6336161890328442,0.5400538546255572,0.7498135116357737,0.6062594880555228
Ibuprofen,0.18563982585312622,0.13541410321717529,0.0,0.3609746058140685,0.6368736438549828,0.3774319801839645,0.7849581149489689,0.5997591406286048
Acetaminophen,0.615427118519016,0.5517455216227793,0.3609746058140685,0.0,0.8353471608834505,0.049840316118439865,0.6963386062200145,0.6823290881758459
Omeprazole,0.5820558959409583,0.6336161890328442,0.6368736438549828,0.8353471608834505,0.0,0.7871387832448533,0.5670611381955754,0.39055865712090687
Lisinopril,0.563845491110681,0.5400538546255572,0.3774319801839645,0.049840316118439865,0.7871387832448533,0.0,0.5763498609277828,0.6669003716973328
Atorvastatin,0.6464832112744308,0.7498135116357737,0.7849581149489689,0.6963386062200145,0.5670611381955754,0.5763498609277828,0.0,0.33370406677397135
Amlodipine,0.553883412233821,0.6062594880555228,0.5997591406286048,0.6823290881758459,0.39055865712090687,0.6669003716973328,0.33370406677397135,0.0
